file_key,series_prefix_candidate,series_step_candidate,y,C3H3_angle_deg_raw,C3H3_reversed_deg,C6H6_angle_deg,axis_angle_deg,antiparallel_deviation_deg,input_angle_diff_deg,dot_C3H3_C6H6,dot_xy_C3H3_C6H6,axis_abs_z_component_proxy,axis_abs_elevation_deg_proxy,C3H3_reversed_deg_bin,C6H6_angle_deg_bin,axis_angle_deg_bin,antiparallel_deviation_deg_bin
0-0-3-1-0,0-0-3-1,0,46.53,157.07504433686572,-22.92495566313429,-22.909249503827777,-22.917102583481036,0.015706159306495035,179.98429384069397,-0.99996001558692,-0.999197263822662,0.027617960899711552,1.5825938295130626,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)"
0-0-3-1-1,0-0-3-1,1,47.25,157.04489818860122,-22.955101811398787,-22.93550901104267,-22.94530541122073,0.019592800356117122,179.98040719964428,-0.99996001558692,-0.996507985425475,0.058753979962595036,3.3682948895029727,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)"
0-0-3-1-2,0-0-3-1,2,47.56,157.05229191762356,-22.947708082376423,-22.924027564657234,-22.935867823516826,0.023680517719210877,179.976319482281,-0.99996001558692,-0.978844443902251,0.14531198052696495,8.355345702852189,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)"
0-0-3-1-3,0-0-3-1,3,47.62,157.09831945624424,-22.90168054375576,-22.873551184286463,-22.887615864021114,0.028129359469297066,179.9718706405303,-0.99996001558692,-0.946740964169809,0.2306925473809482,13.337848324302714,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)"
0-0-3-1-4,0-0-3-1,4,47.52,157.1856391081379,-22.814360891862094,-22.781233832467088,-22.79779736216459,0.033127059394997535,179.96687294060462,-0.99996001558692,-0.901170651599313,0.3143077536231123,18.319028578729352,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)"
0-0-3-1-5,0-0-3-1,5,47.35,157.31875705510726,-22.681242944892723,-22.642333453188346,-22.661788199040537,0.03890949170439945,179.96109050829597,-0.99996001558692,-0.843515842530723,0.39553024290968836,23.299048054824567,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)"
0-0-3-1-6,0-0-3-1,6,47.15,157.50452822867152,-22.4954717713285,-22.44968150442344,-22.47257663787597,0.045790266905041066,179.95420973309479,-0.99996001558692,-0.775526120145456,0.4737445466086803,28.277639016989188,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)"
0-0-3-1-7,0-0-3-1,7,46.93,157.75298153171877,-22.247018468281226,-22.19281159162532,-22.21991502995327,0.0542068766559174,179.9457931233438,-0.99996001558692,-0.699265171230968,0.5483564938577385,33.25433448458292,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)"
0-0-3-1-8,0-0-3-1,8,46.71,158.07866590095367,-21.921334099046344,-21.856537116302476,-21.888935607674412,0.06479698274384448,179.93520301725587,-0.99996001558692,-0.617048098438297,0.6187987695112387,38.22846722589026,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)"
0-0-3-11-10,0-0-3-11,10,44.51,-143.91397930550932,36.086020694490685,36.48914126984134,36.28758098216601,0.40312057535063395,179.59687942464933,-0.99996001558692,-0.820536442182631,0.4235841987188486,25.061080664775364,"[30,50)","[30,50)","[30,50)","[0.25,0.5)"
